,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,label
0,0.18674408,0.026789235,0.0,0.0,0.0,0.0,0.0,0.049747013,0.0,0.2123429,0.07959755,0.0,0.080092736,0.004853482,0.0,0.04652051,0.091155894,0.089380585,0.0,0.0008582327,0.21260417,0.10885483,0.0,0.0,0.0,0.13117653,0.010337536,0.011384726,0.0,0.0,0.06683472,0.0,0.02962452,0.07860773,0.025250196,0.0,0.06608333,0.0,0.07286862,0.0,0.0,0.011679998,0.07800442,0.100646794,0.0053315405,0.12752229,0.0,0.13579473,0.05921405,0.007935496,0.0,0.08271404,0.0,0.0,0.0,0.0,0.03846455,0.0,0.18942009,0.03864077,0.0,0.0069155176,0.04164549,0.0,0.05801218,0.0,0.060650263,0.0,0.0,0.019477697,0.04545595,0.0041283225,0.0,0.06666482,0.0,0.017966673,0.0,0.0,0.14864652,0.047470063,0.0,0.0,0.062405523,0.14062451,0.0,0.120923385,0.0,0.1586289,0.0,0.18724969,0.054182764,0.0,0.0,0.0,0.092520736,0.0,0.061273202,0.0,0.0,0.0,0.0,0.0,0.0010216881,0.030830525,0.1292172,0.0,0.018048843,0.038619626,0.0,0.02063977,0.0,0.08995425,0.0,0.036861796,0.059666038,0.0,0.0,0.011275767,0.0,0.05797237,0.06256505,0.03924334,0.0,0.0862649,0.08364454,0.0065541435,0.0,0.09942286,0.0116305435,0.0,0.117212676,0.0,0.0,0.008578348,0.07964624,0.0,0.04162908,0.0,0.0,0.060272682,0.0,0.05427158,0.06894277,0.0,0.0,0.0,0.0,0.0,0.013693026,0.05727649,0.037449807,0.08707515,0.0,0.0,0.027190303,0.104678676,0.0,0.017785734,0.036135267,0.1179352,0.18589936,0.0,0.07739731,0.0,0.03409947,0.0021467772,0.0,0.0,0.09270821,0.0,0.0,0.0,0.16475047,0.009005586,0.0,0.100771934,0.14963967,0.019441335,0.0,0.013487902,0.098611906,0.010450067,0.08505162,0.0,0.06330407,0.0,0.0,0.11875163,0.034993153,0.0,0.03133372,0.01260218,0.0,0.018844852,0.0,0.10364158,0.03107975,0.10969051,0.04459215,0.07245885,0.061778195,0.0,0.039451852,0.0,0.0,0.0,0.029829504,0.0,0.0,0.0671006,0.0,0.1664998,0.079479404,0.047332093,0.0,0.08388553,0.0,0.11099814,0.082129836,0.0,0.042166997,0.009663708,0.0,0.0,0.0,0.035151247,0.1307357,0.05418238,0.0,0.0,0.0,0.0,0.020906057,0.0,0.0,0.0,0.005973731,0.059384096,0.10018716,0.10830289,0.04656794,0.0,0.13385165,0.12930931,0.022800075,0.013961749,0.015438217,0.1398338,0.0021907622,0.09138787,0.07219767,0.07992506,0.0708921,0.0,0.10793915,0.0,Cris
1,0.20868856,0.019497382,0.0,0.0,0.0,0.0,0.0,0.029695515,0.0,0.2121725,0.06764323,0.0,0.09056569,0.029318638,0.0,0.05427036,0.09247202,0.08326354,0.0,0.0,0.2017725,0.11108578,0.0,0.0,0.0,0.104357086,0.0031232445,0.013858219,0.0,0.0,0.07698474,0.0,0.016309353,0.06186587,0.023423743,0.0,0.06570449,0.0,0.056535717,0.0,0.0,0.004977712,0.08341431,0.1082629,0.0,0.10446501,0.0,0.12944143,0.052545343,0.0,0.0,0.08557145,0.0,0.0,0.0,0.0,0.04460246,0.0029800648,0.18449242,0.037672102,0.0,0.004702124,0.10214901,0.0,0.052951146,0.0,0.04157773,0.0,0.0,0.026478345,0.029600715,0.0,0.0,0.07240265,0.0021675525,0.025558218,0.0,0.0,0.16834937,0.040016722,0.0,0.0,0.07683337,0.10899384,0.0,0.16019928,0.0,0.13146101,0.0,0.17739363,0.04316984,0.0,0.0,0.0,0.10330991,0.0,0.053609874,0.0,0.0,0.0,0.0,0.0,0.0,0.046637543,0.13646844,0.0,0.020911623,0.035915535,0.0,0.02402611,0.0,0.09343129,0.0,0.02218715,0.03368829,0.0,0.0,0.0,0.0,0.074526675,0.052324105,0.046280783,0.0,0.08810824,0.05378096,0.0,0.0,0.10572016,0.006732743,0.0,0.1442455,0.0,0.0,0.0056290478,0.08167292,0.0,0.032541856,0.0,0.0,0.0647893,0.0,0.07640214,0.06640605,0.0,0.0,0.0,0.0,0.0,0.007982896,0.056678258,0.039956562,0.09926784,0.0,0.0,0.013035843,0.109677844,0.0,0.03033944,0.039050248,0.111409165,0.20334458,0.0,0.07157778,0.0,0.035614733,0.028025148,0.0,0.0,0.09472367,0.0,0.0,0.0,0.17982902,0.0,0.0,0.08665209,0.14957754,0.019717835,0.0,0.023002919,0.07984837,0.0021737562,0.09228065,0.0,0.059632372,0.0,0.0,0.12047362,0.033435266,0.0,0.010209466,0.0015769929,0.0,0.038956273,0.0,0.10766332,0.024240084,0.0975871,0.05519375,0.056809597,0.07478798,0.0,0.06603625,0.0,0.0,0.0,0.06853837,0.0,0.0,0.111334026,0.0,0.14841914,0.06638641,0.046792004,0.0,0.0580355,0.0,0.110680915,0.08304416,0.0,0.05137656,0.0,0.0,0.0,0.0037038454,0.041838665,0.12324407,0.05023583,0.0,0.0,0.0,0.0,0.019539692,0.0,0.0,0.0,0.006385463,0.043646555,0.07257953,0.11203629,0.046265777,0.0,0.120703876,0.14227062,0.051911265,0.015040231,0.02028757,0.12138462,0.0,0.10476664,0.0629706,0.08063981,0.048083574,0.0,0.088526905,0.0,Cris
2,0.1602666,0.0072785313,0.0,0.0,0.0,0.009135926,0.0,0.03590407,0.0035140312,0.20972371,0.07524881,0.0,0.09956868,0.012736784,0.0,0.080950476,0.0900299,0.08301078,0.0,0.0,0.20614435,0.101067744,0.0,0.0,0.0,0.10169758,0.0,0.0,0.0,0.0,0.100644834,0.0,0.026822364,0.037778173,0.014549342,0.0,0.05045263,0.0,0.055343617,0.0,0.0,0.0029827228,0.08177187,0.10299106,0.004833385,0.12361723,0.0,0.11875487,0.06835789,0.018802967,0.0,0.0863346,0.0,0.0,0.0042756377,0.0,0.055409733,0.047878545,0.16967472,0.048652083,0.0,0.0,0.12747493,0.0,0.055217665,0.0,0.040468007,0.0,0.0,0.0072494578,0.0099433055,0.0,0.0,0.07243475,0.017100442,0.019125817,0.0,0.0,0.1549581,0.057496306,0.0,0.0,0.07644897,0.12363353,0.0,0.13857318,0.0,0.121885,0.0,0.16493575,0.03467221,0.0,0.0,0.0,0.08992163,0.0,0.042415824,0.0,0.0,0.0,0.0,0.0,0.021702008,0.041566648,0.12514496,0.0,0.030730652,0.028182318,0.0,0.027878225,0.0,0.100123525,0.0,0.036396928,0.026321962,0.0,0.0,0.0,0.0,0.09972927,0.04741878,0.055516317,0.0,0.10113895,0.027221054,0.0042518587,0.0,0.11047249,0.0045524146,0.0,0.15516262,0.0,0.0,0.016162192,0.06364511,0.0,0.027789045,0.01261287,0.0,0.054952234,0.0,0.11172927,0.06974296,0.0,0.0,0.0,0.0,0.0,0.016484544,0.056122277,0.03402912,0.11086926,0.0,0.0,0.017236076,0.12403676,0.0,0.04995672,0.057924528,0.111267686,0.17169014,0.0,0.07675119,0.0,0.028876452,0.022771806,0.0,0.0,0.09508562,0.0,0.0,0.0,0.19640428,0.0,0.0,0.07454026,0.14348227,0.035380058,0.0,0.006856383,0.09584851,0.010435499,0.12441394,0.0,0.044343308,0.0,0.0,0.12374991,0.03940973,0.0,0.004988555,0.0048500905,0.0,0.029601548,0.0,0.11327814,0.023897704,0.09448821,0.06019408,0.055949774,0.0966559,0.0,0.063339725,0.0,0.0,0.0,0.0662276,0.0,0.0,0.13999812,0.0,0.14409316,0.05955245,0.046585914,0.0,0.061300796,0.0,0.09522901,0.09514343,0.0,0.04852338,0.0,0.0,0.0,0.0131819295,0.058631286,0.10532635,0.05209518,0.0,0.0,0.0,0.0,0.026172532,0.0,0.0,0.0,0.010720846,0.033807203,0.052305315,0.09372357,0.050426796,0.0,0.12886612,0.13858071,0.06150458,0.003138499,0.02191864,0.12435554,0.0,0.12184101,0.058954917,0.081021346,0.06329711,0.0,0.06516532,0.0,Cris
3,0.22223282,0.0,0.0,0.0,0.0,0.0032228557,0.0,0.0,0.0,0.19803949,0.08430818,0.0,0.043839775,0.12871698,0.0,0.0,0.09169015,0.092402294,0.0,0.0,0.19125561,0.16258101,0.0,0.0,0.0,0.105654426,0.065992475,0.00079549494,0.0,0.0,0.044614393,0.0,0.04269262,0.0,0.054336466,0.0,0.048368957,0.0,0.0,0.0,0.0,0.030235764,0.079299375,0.08807636,0.0,0.066176355,0.0,0.13184753,0.0,0.016275853,0.0,0.10235343,0.0,0.0,0.0,0.0,0.07944801,0.0,0.19933116,0.0,0.03823732,0.07822279,0.20995395,0.0,0.02906132,0.0,0.0,0.0,0.0,0.0,0.0044376915,0.0,0.0,0.053593855,0.0,0.0,0.0,0.0,0.27408528,0.03439798,0.0,0.0,0.05191905,0.08455646,0.0,0.1783536,0.0,0.08774142,0.0,0.16094035,0.0,0.0,0.0,0.0,0.11073688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035490602,0.157943,0.0,0.004245224,0.04405788,0.0,0.015912669,0.0,0.07836115,0.0,0.0,0.0008864985,0.0,0.0,0.0,0.0,0.0,0.039854724,0.044456434,0.0,0.08861261,0.04773413,0.0,0.0,0.12435132,0.0,0.0,0.1446929,0.0,0.0,0.0,0.0655077,0.0,0.053623952,0.0,0.0,0.1177718,0.0,0.0,0.0032558213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04282903,0.067914836,0.0,0.0,0.0058888914,0.077088356,0.0,0.0017188089,0.0038978215,0.14872423,0.23100506,0.0,0.05189286,0.0,0.042329367,0.0035006164,0.049619455,0.0,0.10507381,0.0,0.0,0.0,0.09899045,0.0,0.0,0.0,0.12638393,0.045328215,0.0,0.067176774,0.03545698,0.0,0.049002707,0.0,0.09135447,0.0,0.0,0.14746879,0.0,0.0,0.0,0.0,0.0,0.04674308,0.0,0.11778987,0.0,0.079934895,0.08374843,0.037931506,0.0,0.0,0.14819376,0.0,0.0,0.0,0.040535342,0.0,0.0,0.04304948,0.0,0.043790992,0.05237268,0.10092478,0.0,0.021864148,0.0,0.092587724,0.06742239,0.0,0.037506893,0.0,0.0,0.0,0.046837177,0.041492376,0.14724438,0.026833892,0.0,0.0,0.03657735,0.0,0.0,0.0,0.0,0.0,0.012253895,0.024718942,0.05861283,0.12892593,0.026859345,0.0,0.048417352,0.1584216,0.07853962,0.067778766,0.0553925,0.0,0.0,0.0,0.00668702,0.06879371,0.045464918,0.0,0.08507183,0.0,Cris
4,0.21656987,0.012785351,0.0,0.0,0.0,0.002119541,0.0,0.0015284199,0.0,0.21837509,0.079024695,0.0,0.07526656,0.04079999,0.0,0.032341357,0.081986785,0.0879017,0.0,0.0,0.21395586,0.13915052,0.0,0.0,0.0,0.09976708,0.017034438,0.01721139,0.0,0.0,0.07770045,0.0,0.034452412,0.047240984,0.029159814,0.0,0.061787345,0.0,0.03255589,0.0,0.0,0.017690558,0.078478806,0.10083684,0.0,0.092992626,0.0,0.12941682,0.03817011,0.012759374,0.0,0.09823838,0.0,0.0,0.0,0.0,0.04524499,0.0,0.19022988,0.0,0.007286766,0.025307573,0.11340207,0.0,0.047207866,0.0,0.037059423,0.0,0.0,0.04576616,0.047201596,0.0,0.0,0.06305784,0.0,0.017360782,0.0,0.0,0.19720502,0.043211613,0.0,0.0,0.069115,0.11378024,0.0,0.16409498,0.0,0.11324117,0.0,0.1739919,0.034138933,0.0,0.0,0.0,0.106395476,0.0,0.036335967,0.0,0.0,0.0,0.0,0.0,0.0,0.043205943,0.14975768,0.0,0.0,0.037218142,0.0,0.016495932,0.0,0.08727026,0.0,0.007527276,0.028214706,0.0,0.0,0.0,0.0,0.0704895,0.061971374,0.035769887,0.0,0.07599384,0.027220557,0.0,0.0,0.10809283,0.0,0.0,0.16679408,0.0,0.0,0.0018045417,0.07642295,0.0,0.036588307,0.0,0.0,0.08046352,0.0,0.038937647,0.04112757,0.0,0.0,0.0,0.0,0.0,0.0,0.03662798,0.03466364,0.095022514,0.0,0.0,0.0062691197,0.10302663,0.0,0.023412729,0.014808427,0.123613164,0.2256072,0.0,0.060744897,0.0,0.034640152,0.023981089,0.0,0.0,0.09907382,0.0,0.0,0.0,0.15996858,0.0,0.0,0.07395952,0.1482064,0.022150774,0.0,0.0289758,0.07747264,0.0,0.08130745,0.0,0.057340957,0.0,0.0,0.12946285,0.022751298,0.0,0.013017842,0.0,0.0,0.027766474,0.0,0.09938364,0.0017546157,0.10421391,0.06489803,0.046009008,0.049835842,0.0,0.0855007,0.0,0.0,0.0,0.04786403,0.0,0.0,0.11841414,0.0,0.12973315,0.061966233,0.05619313,0.0,0.04859865,0.0,0.11214877,0.077115,0.0,0.04758271,0.0,0.0,0.0,0.020593585,0.030887645,0.13185078,0.033376668,0.0,0.0,0.0,0.0,0.017850539,0.0,0.0,0.0,0.02002309,0.03654009,0.0782039,0.12279182,0.043152414,0.0,0.13031839,0.15777387,0.05946344,0.039664462,0.030364146,0.09128693,0.0,0.07802975,0.037885293,0.0827955,0.037900493,0.0,0.09044974,0.0,Cris
5,0.12227159,0.03933792,0.0,0.0,0.0,0.011988215,0.0,0.036870297,0.012110987,0.1990813,0.08050961,0.0,0.1061475,0.0,0.0,0.08905497,0.06460336,0.086461,0.0,0.0,0.19756399,0.09975132,0.0,0.0,0.0,0.09961921,0.0,0.0,0.0,0.0,0.12287301,0.0,0.036691207,0.04780458,0.0062883087,0.0,0.05500978,0.0,0.066441126,0.0,0.0,0.002336603,0.08677702,0.10256126,0.009251152,0.14385986,0.0,0.13207139,0.07603571,0.02431374,0.0,0.09673264,0.0,0.0,0.0013236594,0.0,0.061078675,0.027454594,0.1682475,0.05838608,0.0,0.0,0.06952809,0.0,0.055874854,0.0,0.050000988,0.0,0.0,0.031073324,0.017319378,0.023311887,0.0,0.08459193,0.035283238,0.015370711,0.0,0.0,0.14271659,0.06691171,0.0,0.0,0.08657654,0.12553942,0.0,0.12330143,0.0,0.132052,0.0,0.17669477,0.06682484,0.0,0.0,0.0,0.07269158,0.0,0.058877885,0.0,0.0,0.0,0.0,0.0,0.029352501,0.037116446,0.12120699,0.0,0.032471932,0.032015253,0.0,0.0408536,0.0,0.10125129,0.0,0.07616689,0.044756,0.0,0.0,0.0,0.0,0.069208816,0.058042265,0.06631235,0.0,0.08936665,0.023236113,0.019199446,0.0,0.109846726,0.020007038,0.0,0.12997064,0.0,0.0,0.014445122,0.071636885,0.0078993095,0.014971775,0.021893868,0.0048021404,0.041225113,0.0,0.11720043,0.06475681,0.0,0.020088248,0.0,0.0,0.0,0.03350194,0.073317766,0.031601872,0.11400104,0.0,0.0,0.015884401,0.13590704,0.0,0.070971884,0.046486665,0.12217836,0.15609208,0.0,0.0803726,0.0,0.01584062,0.023032608,0.0,0.0,0.09885805,0.0,0.0,0.0,0.18558258,0.0,0.0,0.1043532,0.15301988,0.034830503,0.0,0.0,0.10086456,0.025926698,0.11225689,0.013384249,0.054735914,0.0,0.0,0.11151115,0.062353373,0.0,0.009588598,0.019437084,0.0,0.03461009,0.0,0.10618714,0.024938527,0.0963045,0.054577697,0.07245342,0.08862961,0.0,0.04290509,0.0,0.0,0.0,0.06316575,0.0,0.0,0.13803333,0.0,0.15601669,0.08095402,0.03774781,0.0,0.068603456,0.0,0.10202379,0.08695713,0.0,0.052993905,0.0,0.0,0.0,0.003551856,0.058674984,0.098362505,0.047926642,0.0,0.0,0.0,0.0,0.012736334,0.0,0.0,0.0070696846,0.008708468,0.054622535,0.061490655,0.08391369,0.063028455,0.0,0.14841852,0.10813948,0.03175495,0.01613304,0.020413106,0.12465416,0.008188561,0.106097266,0.059927836,0.08131073,0.05849378,0.0,0.056134842,0.0,Cris
6,0.16407213,0.032002598,0.0,0.0,0.0,0.010384614,0.0,0.031969413,0.004835249,0.22673824,0.07518813,0.0,0.09493846,0.0,0.0,0.065744005,0.07209172,0.0885376,0.0,0.0,0.20429903,0.10456436,0.0,0.0,0.0,0.10079674,0.0,0.0032000563,0.0,0.0,0.1029234,0.0,0.036025647,0.0656858,0.013289466,0.0,0.068200275,0.0,0.06815388,0.0,0.0,0.002739833,0.08736969,0.10205791,0.0,0.1354036,0.0,0.14227091,0.0654886,0.022929693,0.0,0.09748219,0.0,0.0,0.012551596,0.0,0.053682737,0.0,0.17924942,0.043400683,0.0,0.0,0.07305159,0.0,0.062109903,0.0,0.05636715,0.0,0.0,0.014841239,0.022166023,0.0032830187,0.0,0.07852293,0.010213852,0.019703686,0.0,0.0,0.16104844,0.053410362,0.0,0.0,0.07211289,0.131058,0.0,0.14622308,0.0,0.13580097,0.0,0.17538436,0.047068834,0.0,0.0,0.0,0.09047271,0.0,0.0609603,0.0,0.0,0.0,0.0,0.0,0.007040844,0.03692074,0.13016638,0.0,0.0305526,0.026542624,0.0,0.027456982,0.0,0.092960164,0.0,0.046157982,0.04392964,0.0,0.0,0.0,0.0,0.072557434,0.054693177,0.059578706,0.0,0.07889907,0.04691327,0.01713648,0.0,0.10878048,0.014837053,0.0,0.13249776,0.0,0.0,0.019594757,0.0873115,0.002945944,0.01872117,0.0063650087,0.0,0.05970093,0.0,0.089320175,0.054327697,0.0,0.0,0.0,0.0,0.0,0.012102427,0.06432163,0.036879405,0.099827565,0.0,0.0,0.021929761,0.11555015,0.0,0.045835875,0.039895285,0.12665455,0.18760085,0.0,0.083364934,0.0,0.021534793,0.027736917,0.0,0.0,0.11074941,0.0,0.0,0.0,0.16547109,0.0,0.0,0.08692899,0.15008168,0.017879745,0.0,0.002670182,0.1020308,0.01052721,0.09660282,0.0,0.06252357,0.0,0.0,0.114674345,0.05454628,0.0,0.0139687965,0.028283825,0.0,0.026825398,0.0,0.10417003,0.005538681,0.101329595,0.05324359,0.07652667,0.07371102,0.0,0.058102075,0.0,0.0,0.0,0.05796973,0.0,0.0,0.11661572,0.0,0.15246128,0.074380144,0.05693735,0.0,0.064840324,0.0,0.09486649,0.09037189,0.0,0.055401642,0.0,0.0,0.0,0.0038376949,0.051150355,0.10350241,0.042502947,0.0,0.0,0.0,0.0,0.018546088,0.0,0.0,0.0,0.019557213,0.046042413,0.07379375,0.10543543,0.050995313,0.0,0.13052484,0.11625682,0.03533357,0.020891048,0.025456222,0.104048915,0.0,0.10773425,0.05847868,0.08712155,0.05157358,0.0,0.0801032,0.0,Cris
7,0.21761829,0.0027806992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2150714,0.068964064,0.0,0.08158724,0.08263782,0.0,0.030495185,0.08244338,0.08799177,0.0,0.0,0.21381372,0.12345237,0.0,0.0,0.0,0.0889493,0.026134014,0.01464706,0.0,0.0,0.06933014,0.0,0.025680313,0.043282963,0.03358695,0.0,0.059776478,0.0,0.03053674,0.0,0.0,0.0038267043,0.079303764,0.08712839,0.0,0.09752907,0.0,0.11861724,0.03953917,0.0,0.0,0.09552875,0.0,0.0,0.0,0.0,0.05773625,0.0,0.19583745,0.00679425,0.0032385346,0.039485596,0.13765395,0.0,0.050304137,0.0,0.03381077,0.0,0.0,0.040044878,0.043685842,0.0,0.0,0.06240487,0.0,0.0074520614,0.0,0.0,0.21001934,0.042605728,0.0,0.0,0.06358561,0.09508266,0.0,0.17069015,0.0,0.11913522,0.0,0.16634546,0.023041308,0.0,0.0,0.0,0.10255432,0.0,0.035233233,0.0,0.0,0.0,0.0,0.0,0.0,0.05061132,0.1505428,0.0,0.0056007956,0.029244788,0.0,0.016053801,0.0,0.09352712,0.0,0.0,0.016921062,0.0,0.0,0.0,0.0,0.055354785,0.049517687,0.04013799,0.0,0.0958869,0.035173632,0.0,0.0,0.10122802,0.0,0.0,0.16490722,0.0,0.0,0.0,0.06740207,0.0,0.044764236,0.0,0.0,0.08086567,0.0,0.029125262,0.04924047,0.0,0.0,0.0,0.0,0.0,0.0,0.043618757,0.042335544,0.08792699,0.0,0.0,0.014455595,0.10117726,0.0,0.037356887,0.02392055,0.13390169,0.21016213,0.0,0.07097205,0.0,0.03178964,0.022609709,0.0,0.0,0.09346396,0.0,0.0,0.0,0.16125306,0.0,0.0,0.07740521,0.12974302,0.020698836,0.0,0.036764223,0.06749651,0.0,0.08846482,0.0,0.064891815,0.0,0.0,0.13101338,0.007980145,0.0,0.013433637,0.0,0.0,0.042632822,0.0,0.10742381,0.007119041,0.09171213,0.07390947,0.036337174,0.054594856,0.0,0.09813655,0.0,0.0,0.0,0.05757141,0.0,0.0,0.11362643,0.0,0.13432333,0.060522497,0.0664678,0.0,0.04955682,0.0,0.1103118,0.08463229,0.0,0.040846013,0.0,0.0,0.0,0.01382617,0.031059187,0.13665412,0.037573263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048975,0.035730008,0.06777927,0.12038556,0.039439984,0.0,0.10738357,0.16026339,0.073344134,0.026692536,0.036429826,0.12300264,0.0,0.07774844,0.052070234,0.078257866,0.045991663,0.0,0.08071479,0.0,Cris
8,0.06732817,0.048999645,0.0,0.0,0.0,0.006929271,0.0,0.05171295,0.020282393,0.19955912,0.067074254,0.0,0.12088557,0.0,0.0,0.1219404,0.05404039,0.06860469,0.0124725085,0.0,0.17514046,0.08296346,0.0,0.0,0.0,0.097157165,0.0,0.0030773089,0.0019064174,0.0,0.11936411,0.0021912653,0.022276288,0.06942776,0.0,0.0049520875,0.054066908,0.0,0.08021168,0.0,0.0,0.0040095127,0.08713142,0.093798056,0.019185912,0.15759838,0.0,0.13656196,0.09374031,0.032176662,0.0,0.08338495,0.0,0.0,0.0061472273,0.0,0.08192333,0.043556284,0.15330443,0.06821425,0.0,0.0,0.026734728,0.0,0.06473283,0.0,0.05138431,0.0,0.0,0.011990325,0.0001374764,0.044999555,0.0,0.09341612,0.041696575,0.0068449774,0.0,0.0,0.14482763,0.062483855,0.0,0.0,0.08728178,0.1390136,0.0,0.107627355,0.0,0.14686781,0.0,0.1691726,0.064143546,0.0,0.0,0.0,0.06135122,0.0,0.06399278,0.0,0.0,0.0,0.0,0.0,0.039572038,0.021014841,0.10582549,0.0029125696,0.049602542,0.032681823,0.0,0.058264792,0.0,0.09994314,0.0,0.08235327,0.048517853,0.0,0.0,0.0012234495,0.0,0.036414262,0.05810523,0.08381771,0.0,0.08701905,0.04108628,0.043679703,0.0,0.09780548,0.019807955,0.0,0.104345664,0.0,0.0,0.032653913,0.07718987,0.022247018,0.01655217,0.050369654,0.0042129783,0.03277181,0.0,0.12726828,0.06463062,0.0,0.046261813,0.0,0.0,0.0,0.040429745,0.07661654,0.0336368,0.11331854,0.0,0.0,0.03804167,0.14194101,0.0,0.057668112,0.05138138,0.116630785,0.14789787,0.0,0.078421734,0.002315411,0.004006222,0.019825675,0.0,0.0,0.106061034,0.0,0.0,0.0,0.18257126,0.0,0.0,0.11145411,0.16181347,0.03425899,0.025596945,0.0,0.10602942,0.03658515,0.11531841,0.023484303,0.052761417,0.0,0.0,0.1175103,0.08259864,0.0,0.015228746,0.04416359,0.0,0.027305461,0.0,0.09072324,0.019655492,0.08737021,0.04335875,0.09322765,0.08468565,0.0,0.03503733,0.008065428,0.0,0.008758286,0.0722896,0.0,0.0,0.121772595,0.0,0.17534295,0.07392249,0.03922355,0.0,0.09058353,0.0,0.088131316,0.10154817,0.0,0.059898384,0.006101373,0.0,0.0,0.0,0.059008915,0.09418602,0.037585683,0.0,0.0,0.0,0.0,0.019906344,0.0,0.0,0.027351655,0.0019832507,0.058839153,0.0825379,0.06958494,0.0619577,0.0,0.1317904,0.088571884,0.01770059,0.0,0.0066062114,0.11197373,0.01971472,0.10232363,0.07453191,0.07886195,0.076620035,0.0,0.058162767,0.0,Cris
9,0.21441033,0.0,0.0,0.0,0.0,0.0055548754,0.0,0.0,0.0,0.18407507,0.081583045,0.0,0.03062893,0.14324665,0.0,0.0,0.10923044,0.10089439,0.0,0.0,0.16894034,0.17527092,0.0,0.0,0.0,0.1029046,0.06673054,0.0077538737,0.0,0.0,0.028607706,0.0,0.052800972,0.0,0.0638637,0.0,0.06096021,0.0,0.0,0.0,0.0,0.045408778,0.066815786,0.08673195,0.0,0.044414937,0.0,0.13085227,0.0,0.0,0.0,0.09859736,0.0,0.0,0.0,0.0,0.08082172,0.0,0.18954767,0.0,0.041331932,0.096896626,0.21127562,0.0,0.034185324,0.0,0.0,0.0,0.0,0.0,0.016945904,0.0,0.0,0.049195334,0.0,0.0,0.0,0.0,0.27098525,0.021060271,0.0,0.0,0.051460102,0.067396395,0.0,0.1912624,0.0,0.0868449,0.0,0.15530883,0.0,0.0,0.0,0.0,0.1215354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040744606,0.1614403,0.0,0.0038407766,0.051318098,0.0,0.008816524,0.0,0.069841735,0.0,0.0,0.0026952398,0.0,0.0,0.0,0.0,0.0,0.03706209,0.04497126,0.0,0.09652947,0.05902276,0.0,0.0,0.12322312,0.0,0.0,0.139417,0.0,0.0,0.0,0.06817781,0.0,0.058739968,0.0,0.0,0.1313639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04048681,0.06116146,0.0,0.0,0.0,0.059618164,0.0,0.0,0.0,0.14511982,0.23615932,0.0,0.058476098,0.0,0.05958285,0.0,0.04267624,0.0,0.10272143,0.0,0.0,0.0,0.09177123,0.0,0.0,0.0,0.11894598,0.031996716,0.0,0.08309489,0.012779291,0.0,0.022865148,0.0,0.09146223,0.0,0.0,0.14476262,0.0,0.0,0.0048943297,0.0,0.0,0.054776758,0.0,0.113663234,0.0,0.08665447,0.084527016,0.034724254,0.0,0.0,0.15170501,0.0,0.0,0.0,0.0422034,0.0,0.0,0.046008006,0.0,0.02731216,0.048685104,0.08579632,0.0,0.014888297,0.0,0.100107975,0.05525505,0.0,0.032259595,0.0,0.0,0.0,0.049282093,0.03202943,0.1591332,0.01976936,0.0,0.0,0.05312153,0.0,0.0,0.0,0.0,0.0,0.01279429,0.013722757,0.06663498,0.13363388,0.035486802,0.0,0.0349815,0.16219151,0.08741755,0.08586484,0.046307117,0.0034194263,0.0,0.0,0.008846062,0.05928283,0.04903266,0.0,0.08864005,0.0,Cris
